t_sim,y_sim
1,6.54068529787577
2,6.62625301504875
3,6.68540710786388
4,6.72636480129042
5,6.75476683705113
6,6.77449162899897
7,6.78821018766663
8,6.79776495978965
9,6.80442887492311
10,6.60628493791373
11,6.60733638931366
12,6.60809085727653
13,6.60863201746028
14,6.60902004142228
15,6.60929817400076
16,6.60949747869743
17,6.60964025832635
18,6.60974251878732
19,6.60981574235786
20,6.60986816317889
21,6.60990568413488
22,6.60993253559431
23,6.46509615629019
24,6.46353642279171
25,6.46245769117739
26,6.46171047035715
27,6.46119209539232
28,6.46083194506796
29,6.46058136181597
30,6.46040676711567
31,6.46028495176148
32,6.46019984870439
33,6.46014031816119
34,6.46009862499473
35,6.46006939029547
36,6.60490446048165
37,6.60646351789974
38,6.60754193720756
39,6.60828904733173
40,6.60880741725224
41,6.60916761273255
42,6.60941826035552
43,6.60959292218953
44,6.60971479943008
45,6.60979995586923
46,6.6098595305872
47,6.60990125928834
48,6.60993052199167
49,6.60995106569897
50,6.69687885896244
51,6.69783310339792
52,6.69849339426875
53,6.69895098749958
54,6.69926858635196
55,6.69948934515478
56,6.69964301199634
57,6.69975012625488
58,6.6998248915822
59,6.69987714551099
60,6.69991371194479
61,6.69993933139793
62,6.69995730184823
63,6.69996992093657
64,6.69997879157591
65,6.6999850334913
66,6.69998942987059
67,6.69999252918324
68,6.69999471597609
69,6.6999962601688
70,6.69999735142597
71,6.69999812315579
72,6.69999866928764
73,6.69999905601596
74,6.69999933003054
75,6.69999952429094
76,6.61308630678425
77,6.61214231733462
78,6.61148924844446
79,6.61103674586632
80,6.61072273842821
81,6.61050451540745
82,6.61035264037944
83,6.61024679315667
84,6.61017292439378
85,6.61012130528823
86,6.6100851886194
87,6.61005988799951
88,6.61004214368592
89,6.61002968506736
90,4.81381158552355
91,4.79429428833655
92,4.78079175758142
93,4.77143596006052
94,4.76494359110908
95,4.76043161039581
96,4.757291417229
97,4.75510288632956
98,4.75357554129278
99,4.75250823317139
100,4.75176145791481
101,4.7512383200298
102,4.75087142073726
103,4.75061381228911
104,4.75043274756084
105,4.75030535436954
106,4.75021563722199
107,4.90466502765334
108,4.90629878806269
109,4.90742841980102
110,4.90821069574451
111,4.908753252137
112,4.9091301096095
113,4.90939225405698
114,4.90957486131811
115,4.90970223820426
116,4.90979120721567
117,4.90985342893044
118,4.90989699808621
119,4.90992754228226
120,4.90994897951765
121,4.90996404133553
122,6.95726700391294
123,6.97951296105249
124,6.99490325222327
125,7.00556706989949
126,7.01296713124147
127,7.01810993067312
128,7.02168915514236
129,7.02418366639078
130,7.02592455164737
131,7.02714108214691
132,7.02799226584598
133,7.02858854514666
134,7.02900674185567
135,7.02930036751525
136,6.93293635288813
137,6.93203257169103
138,6.9314091233994
139,6.93097837126623
140,6.93068029021796
141,6.93047370019548
142,6.93033030365189
143,6.93023062387631
144,6.93016123375614
145,6.93011286194494
146,6.93007909653872
147,6.93005549629891
148,6.93003898030091
149,7.15213931608814
150,7.15454386586584
151,7.15620729654697
152,7.1573598106146
153,7.1581595436173
154,7.15871530202439
155,7.15910207202146
156,7.15937161459649
157,7.15955971547957
158,7.15969115416789
159,7.15978311519471
160,7.15984753380267
161,7.1598927115011
162,7.15992443055258
163,7.15994672401931
164,7.37241727716114
165,7.37473609154689
166,7.37634043761047
167,7.37745216826163
168,7.37822370581758
169,7.37875994107672
170,7.37913317216724
171,7.3793933117547
172,7.37957487259297
173,7.37970175604572
174,7.379790539923
175,7.37985273961123
176,7.37989636562943
177,7.37992699825908
178,7.37994853015758
179,7.37996368033748
180,7.61174329791103
181,7.61426838554394
182,7.61601539452802
183,7.6172259467545
184,7.61806604131363
185,7.61864990831809
186,7.61905628070359
187,7.61933951184175
188,7.61953718390394
189,7.61967532314633
190,7.61977198064988
191,7.61983969480852
192,7.61988718753472
193,7.44609382391647
194,7.44422908880112
195,7.44293930414331
196,7.44204581527098
197,7.4414259178598
198,7.44099519851085
199,7.44069549181263
200,7.44048665440112
201,7.44034093712137
202,7.44023912842987
203,7.44016790726592
204,7.44011802312976
205,7.44008304284259
206,7.44005848614801
207,7.19861524162153
208,7.19598063671027
209,7.19415781483828
210,7.19289470101865
211,7.19201811048167
212,7.19140886551151
213,7.19098482108107
214,7.19068926693747
215,7.19048299035067
216,7.19033883525504
217,7.19023796654323
218,7.19016730094524
219,7.19977477680747
220,7.19984487377707
221,7.1998929825191
222,7.1999260541728
223,7.19994882568501
224,7.19996453027226
225,7.19997537833861
226,7.19998288349352
227,7.19998808389541
228,7.19999169276047
229,7.19999420086578
230,7.19999594646957
231,7.19999716308256
232,7.19999801215948
233,7.19999860550744
234,7.19999902067073
235,7.19999931151077
236,7.19999951549357
237,7.19999965871731
238,7.19999975938651
239,7.19999983021638
240,7.19999988009941
241,7.19999991526228
242,7.19999994007017
243,7.19999995758673
244,7.19999996996449
245,7.19999997871734
246,7.19999998491107
247,7.16137183138643
248,7.1609522401671
249,7.16066195867374
250,7.16046082606246
251,7.1603212527364
252,7.16022425444419
253,7.16015674711906
254,7.16010969870694
255,7.16007686444402
256,7.16005391998462
257,7.16003786625603
258,7.1600266202003
259,7.16001873288726
260,7.16001319504563
261,7.16966634216683
262,7.16976850218161
263,7.16983914446611
264,7.16988806852481
265,7.16992200301526
266,7.16994557557403
267,7.16996197401406
268,7.16997339783148
269,7.16998136702146
270,7.16998693364197
271,7.16999082698835
272,7.16999355337421
273,7.16999546482382
274,7.16999680643842
275,7.16999774910929
276,7.16034137266884
277,7.16023694089619
278,7.16016469893189
279,7.16011464740944
280,7.16007991758496
281,7.16005578352145
282,7.1600389883522
283,7.16002728402215
284,7.16001911635547
285,7.16001340921195
286,7.16000941631381
287,7.16000661936161
288,7.16000465786505
289,7.16000328073854
290,7.15034527338009
291,7.1502396938569
292,7.15016664340279
293,7.15011602185792
294,7.15008088979943
295,7.15005647167287
296,7.1500394757423
297,7.15002762942295
298,7.15001936126625
299,7.15001358295807
300,7.15000953963294
301,7.15000670692856
302,7.15000472007091
303,7.15000332494559
304,7.15000234428513
305,7.15000165426593
306,7.15000116828522
307,7.15000082569822
308,7.1500005839876
309,7.15000041331132
310,7.15000029270133
311,7.15000020740962
312,7.15000014705293
313,7.15000010431427
314,7.15000007403282
315,7.1500000525656
316,7.15000003733898
317,7.1500000265335
318,7.15000001886193
319,7.15000001341301
320,7.15000000954123
321,7.15000000678908
322,7.15000000483211
323,7.13068592448498
324,7.13047612633127
325,7.13033098377833
326,7.13023041618971
327,7.13016062861501
328,7.13011212882086
329,7.13007837469747
330,7.13005485016362
331,7.13003843279893
332,7.13002696040323
333,7.13001893342076
334,7.13001331030874
335,7.12035232711472
336,7.12024465956956
337,7.12017014243692
338,7.1201184895884
339,7.1200826316445
340,7.1200577021213
341,7.12004034558328
342,7.12002824476981
343,7.12001979686399
344,7.12001389150364
345,7.12000975831059
346,7.12000686199754
347,6.56955357986775
348,6.56357293366321
349,6.55943538769677
350,6.55656851964456
351,6.55457908657085
352,6.55319649901026
353,6.55223426420077
354,6.55156364390549
355,6.55109562812087
356,6.55076857935617
357,6.55053974986263
358,6.55037944833638
359,6.03844392975812
360,6.03280536795706
361,6.02890362677914
362,6.02619956295447
363,6.02432271045279
364,6.02301809422051
365,6.02210994321653
366,6.02147689331757
367,6.02103501445107
368,6.02072617424266
369,6.02051004728596
370,6.0203586189441
371,6.02025239882502
372,6.02017780792529
373,5.75938530689976
374,5.75651614790991
375,5.75453074451394
376,5.75315476743771
377,5.75219971267545
378,5.7515358401692
379,5.75107371072231
380,5.75075156892494
381,5.75052670706129
382,5.7503695442714
383,5.75025956064812
384,5.75018250059314
385,5.75012844609199
386,5.61489193449657
387,5.61339667023216
388,5.61236190023972
389,5.61164470501834
390,5.61114687061965
391,5.61080079501148
392,5.61055987170885
393,5.61039191775927
394,5.61027467500803
395,5.61019272556399
396,5.61013537345447
397,5.61009518745594
398,5.61006699711295
399,5.61004719989183
400,5.61003328229047
401,5.61002348831658
402,5.61001658963328
403,5.61001172595479
404,5.6100082940598
405,5.61000587050289
406,5.61000415771824
407,5.6100029463855
408,5.61000208911704
409,5.61000148203805
410,5.61000105187656
411,5.6100007469048
412,5.61000053057618
413,5.61000037705088
414,5.61000026804659
415,5.61000019061971
416,5.6100001356008
417,5.61000009649039
418,5.61000006867903
419,5.61000004889609
420,5.61000003481979
421,5.6100000248012
422,5.6100000176688
423,5.61000001258991
424,5.61000000897251
425,5.6100000063955
426,5.61000000455932
427,5.61000000325077
428,5.61000000231807
429,5.61000000165318
430,5.61000000117912
431,5.61000000084109
432,5.61000000060002
433,5.61000000042808
434,5.61000000030544
435,5.61000000021795
436,5.61000000015553
437,5.61000000011099
438,5.61000000007922
439,5.61000000005654
440,5.61000000004036
441,5.61000000002881
442,5.61000000002056
443,5.61000000001468
444,5.61000000001048
445,5.61000000000748
446,5.61000000000534
447,5.61000000000381
448,5.61000000000272
449,5.61000000000194
450,5.61000000000139
451,5.61000000000099
452,5.61000000000071
453,5.61000000000051
454,5.61000000000036
455,5.61000000000026
456,5.61000000000019
457,5.61000000000013
458,5.61000000000009
459,5.61000000000007
460,5.61000000000005
461,5.61000000000003
462,5.61000000000003
463,5.61000000000002
464,5.67759927634303
465,5.67833356641454
466,5.6788415628827
467,5.67919354768655
468,5.67943780294737
469,5.67960755133618
470,5.67972569013351
471,5.67980802554988
472,5.67986548600411
473,5.67990563915941
474,5.67993373343436
475,5.6799534142097
476,6.52978669116052
477,6.53902745765825
478,6.54542051066007
479,6.54985025501765
480,6.55292426773391
481,6.55506062660043
482,6.556547478526
483,6.557583737463
484,6.55830693489664
485,6.55881230960002
486,6.55916591380624
487,6.55941362597358
488,6.559587358666
489,6.55970934133451
490,6.5597950796767
491,6.55985540372552
492,6.55989788745261
493,6.55992783422757
494,6.94623054101201
495,6.95044140217027
496,6.95335478050082
497,6.95537357644124
498,6.95677459553529
499,6.95774832123829
500,6.95842604626218
501,6.9588984102313
502,6.95922808619185
503,6.95945847695256
504,6.95961968597247
505,6.95973262363445
506,6.95981183576841
507,6.95986745515152
508,6.95990655005636
509,6.95993405759761
510,6.95995343070532
511,6.95996708726573
512,6.95997672238096
513,6.95998352577425
514,6.95998833336443
515,6.9599917330852
516,6.95999413885709
517,6.95999584236119
518,6.95999704931975
519,6.95999790494905
520,6.95999851183552
521,6.95999894250392
522,6.95999924826221
523,6.95999946543223
524,6.95999961974268
525,6.95999972942909
526,6.95999980742308
527,6.95999986289968
528,6.95999990237168
529,6.95999993046414
530,6.9599999504629
531,6.95999996470326
532,6.95999997484554
533,6.9599999820706
534,6.95999998721849
535,6.95999999088705
536,6.95999999350182
537,6.95999999536578
538,6.95999999669471
539,6.95999999764231
540,6.95999999831808
541,6.95999999880006
542,6.95999999914385
543,6.95999999938909
544,6.95999999956406
545,6.95999999968889
546,6.95999999977797
547,6.95999999984153
548,6.95999999988689
549,6.95999999991926
550,6.95999999994237
551,6.95999999995886
552,6.95999999997063
553,6.95999999997903
554,6.95999999998503
555,6.95999999998931
556,6.95999999999237
557,6.95999999999455
558,6.95999999999611
559,6.95999999999722
560,6.95999999999802
561,6.95999999999859
562,6.95999999999899
563,6.95999999999928
564,6.95999999999948
565,6.95999999999963
566,6.95999999999974
567,6.95999999999981
568,6.95999999999987
569,6.9599999999999
570,6.95999999999993
571,6.95999999999995
572,6.95999999999997
573,6.95999999999998
574,6.95999999999998
575,6.95999999999999
576,6.95999999999999
577,6.95999999999999
578,6.96
579,6.96
580,6.96
581,6.96
582,6.96
583,6.96
584,6.96
585,6.96
586,6.96
587,6.96
588,6.96
589,6.96
590,6.96
591,6.96
592,6.96
593,6.96
594,6.96
595,6.96
596,6.96
597,6.96
598,6.96
599,6.96
600,6.96
601,6.96
602,6.96
603,6.96
604,6.96
605,6.96
606,6.96
607,6.96
608,6.96
609,6.96
610,6.96
611,6.96
612,6.96
613,6.96
614,6.96
615,6.96
616,6.96
617,6.96
618,6.96
619,6.96
620,6.96
621,6.96
622,6.96
623,7.09519855268603
624,7.09666713282906
625,7.09768312576538
626,7.09838709537309
627,7.09887560589473
628,7.09921510267235
629,7.09945138026701
630,7.09961605109976
631,7.09973097200821
632,7.09981127831881
633,7.09986746686872
634,7.09990682841939
635,7.09993443426811
636,7.09995381689399
637,7.0709963218369
638,7.07069121116736
639,7.07048024869871
640,7.07033415631134
641,7.07023283243217
642,7.07016245338494
643,7.07011349734714
644,7.07007939509932
645,7.07005560726109
646,7.07003899217791
647,7.07002737220385
648,7.0700192356261
649,7.07001353147783
650,7.07000952806497
651,7.07000671526716
652,7.07000473696218
653,7.07000334421351
654,7.07000236279214
655,7.07000167061005
656,7.07000118201775
657,7.07000083686276
658,6.71269013218488
659,6.70880871204218
660,6.70612346565293
661,6.70426288798688
662,6.70297176311577
663,6.70207447812676
664,6.70144999933122
665,6.70101477593445
666,6.70071104083127
667,6.7004987916707
668,6.70035028550405
669,6.70024625296324
670,6.70017329067638
671,6.70012206233908
672,6.30414743711189
673,6.29982126184794
674,6.29682801285618
675,6.29475381149448
676,6.29331430109016
677,6.29231379589419
678,6.29161741336254
679,6.29113203278736
680,6.29079326366379
681,6.29055651249894
682,6.29039084911421
683,6.29027478827537
684,6.29019338386554
685,6.29013622398961
686,6.29009604548716
687,6.29006777499165
688,6.29004786419688
689,6.29003382837374
690,6.29002392552074
691,6.29001693297238
692,6.29001199164702
693,6.29000849730818
694,6.29000602455015
695,6.29000427359333
696,6.29000303300017
697,6.29000215351783
698,6.2900015297067
699,6.29000108702399
700,6.29000077273335
701,6.29000054950134
702,6.29000039088238
703,6.29000027813264
704,6.29000019795992
705,6.29000014093326
706,5.89406148177766
707,5.88976061105252
708,5.88678518260973
709,5.88472354269148
710,5.88329289430935
711,5.88229864631917
712,5.88160668521436
713,5.88112443114725
714,5.88078787437029
715,5.88055268968741
716,5.88038813613941
717,5.88027286205261
718,5.8801920156581
719,5.93807748862372
720,5.93866698273154
721,5.93907433744563
722,5.9393562697805
723,5.93955169645022
724,5.93968736391888
725,5.93978168419746
726,5.93984735237282
727,5.93989313567692
728,5.93992509829345
729,5.93994744123432
730,5.93996307920044
731,5.99791627430309
732,5.99855335355357
733,5.99899417837675
734,5.99929967563953
735,5.99951170876017
736,5.99965908922867
737,5.99976167786776
738,5.99983318735691
739,5.9998831003949
740,5.99991798470858
741,5.99994239603658
742,5.99995949919496
743,5.99997149593326
744,5.99997992016042
745,5.9999858419773
746,5.99999000890526
747,5.99999294379256
748,5.99999501278984
749,5.99999647261394
750,5.99999750345765
751,5.99999823193654
752,5.99999874711034
753,5.99999911168349
754,5.99999936984526
755,5.99999955276412
756,5.99999968244264
757,5.99999977442511
758,5.9999998397013
759,5.99999988604635
760,5.99999991896465
761,5.99999994235542
762,5.99999995898237
763,5.99999997080546
764,5.99999997921533
765,5.99999998519913
766,5.99999998945791
767,5.99999999248975
768,5.99999999464864
769,5.99999999618628
770,5.99999999728165
771,5.99999999806213
772,5.99999999861832
773,5.99999999901476
774,5.99999999929736
775,5.99999999949885
776,5.99999999964252
777,5.99999999974498
778,5.99999999981806
779,5.99999999987019
780,5.99999999990737
781,5.9999999999339
782,5.99999999995283
783,5.99999999996633
784,5.99999999997597
785,5.99999999998285
786,5.99999999998776
787,5.99999999999126
788,5.99999999999376
789,5.99999999999555
790,5.99999999999682
791,5.99999999999773
792,5.99999999999838
793,5.99999999999884
794,5.99999999999917
795,5.99999999999941
796,5.99999999999958
797,5.9999999999997
798,5.99999999999979
799,5.99999999999985
800,5.99999999999989
801,5.99999999999992
802,5.99999999999994
803,5.99999999999996
804,5.99999999999997
805,5.99999999999998
806,5.99999999999999
807,5.99999999999999
808,5.99999999999999
809,6
810,6
811,6
812,6
813,6
814,6
815,6
816,6
817,6
818,6
819,6
820,6
821,6
822,6
823,6
824,6
825,6
826,6
827,6
828,7.06227434253308
829,7.07381318651406
830,7.08179598815657
831,7.08732717793143
832,7.09116547488712
833,7.09383294956848
834,7.09568941638364
835,7.09698325864098
836,7.09788620863594
837,7.09851718679066
838,7.09895866825424
839,7.09926793758094
840,7.09948484067803
841,7.09963713273851
842,6.82934706817498
843,6.82648521919558
844,6.8245062714212
845,6.82313571839964
846,6.82218507336767
847,6.82152470330167
848,6.82106530784711
849,6.82074527186109
850,6.82052201488556
851,6.82036606478683
852,6.82025699106155
853,6.82018060970508
854,6.82012705893489
855,6.82008947230929
856,6.61726523329088
857,6.61504378723787
858,6.61350671950804
859,6.61244154877012
860,6.61170228252273
861,6.61118844863995
862,6.61083079050838
863,6.61058149241197
864,6.61040748963102
865,6.61028588230707
866,6.61020078637526
867,6.61014116773823
868,6.61009935026942
869,6.61006998635456
870,6.61004934545164
871,6.61003482165913
872,6.61002459235031
873,6.61001738117458
874,6.61001229327588
875,6.61000870055911
876,6.61000616169302
877,6.61000436625802
878,6.61000309570112
879,6.61000219600617
880,6.6100015585415
881,6.61000110662279
882,6.61000078607532
883,6.61000055859834
884,6.61000039709497
885,6.18509054536903
886,6.18047492626591
887,6.17728174766877
888,6.17506923055908
889,6.17353388247128
890,6.17246687174737
891,6.17172427018107
892,6.1712067227134
893,6.17084553519258
894,6.17059313857271
895,6.17041654217039
896,6.17029283172013
897,6.17020606854321
898,5.89009100548802
899,5.88700612931216
900,5.88487144729075
901,5.88339200879199
902,5.88236513930547
903,5.88165134532124
904,5.88115446358355
905,5.88080809569223
906,5.88056632287478
907,5.88039734008604
908,5.88027908446232
909,5.88019622843824
910,5.88013810817255
911,5.88009729405951
912,5.88006860274732
913,5.88004841323482
914,5.88003419273231
915,5.88002416745508
916,5.88001709371246
917,5.88001209850968
918,5.88000856840017
919,5.88000607187908
920,5.88000430512618
921,5.88000305402585
922,5.88000216754944
923,5.88000153907923
924,5.88000109329039
925,5.88000077692723
926,5.8800005523111
927,5.88000039276689
928,5.88000027939805
929,5.88000019881064
930,5.88000014150591
931,5.88000010074413
932,5.88000007174098
933,5.88000005109869
934,5.88000003640326
935,5.88000002593895
936,5.88000001848589
937,5.88000001317644
938,5.88000000939336
939,5.88000000669736
940,5.88000000477576
941,5.8800000034059
942,5.88000000242924
943,5.88000000173281
944,5.88000000123616
945,5.88000000088193
946,5.88000000062926
947,6.99055954036995
948,7.00262287713057
949,7.01096853330144
950,7.01675114072787
951,7.02076390568029
952,7.02355262917745
953,7.02549348082406
954,7.02684613407611
955,7.02779012724054
956,7.02844978621183
957,7.02891133500848
958,7.02923466202744
959,7.02946142435307
960,7.02962063877769
961,7.02973254507591
962,7.02981127962264
963,7.12643712331846
964,7.12752519470064
965,7.12827847886136
966,7.12880078430662
967,7.12916347829781
968,7.12941570466088
969,7.12959135852358
970,7.12971385500221
971,7.12979939489326
972,7.12985920473147
973,7.12990107583389
974,7.12993042342728
975,7.12995101668717
976,7.3713914696858
977,7.3740241066856
978,7.37584554007155
979,7.37710767343219
980,7.37798357110286
981,7.37859232608851
982,7.37901602377443
983,7.37931133238302
984,7.37951743499885
985,7.37966146676035
986,7.61153119545216
987,7.61411936492779
988,7.61591058664282
989,7.61715216198958
990,7.61801404853432
991,7.61861323908699
992,7.61903039724435
993,7.61932122728499
994,7.61952425777052
995,7.61966617872875
996,7.61976550730823
997,7.61983510949906
998,7.61988393771137
999,7.61991822996384
1000,7.61994233881317
1001,7.61995930523839
1002,7.61997125656039
1003,7.61997968276434
1004,7.6199856286633
1005,7.61998982772511
1006,7.61999279540071
1007,7.61999489429652
1008,7.61999637974369
1009,7.61999743170002
1010,7.61999817711038
1011,7.44617199500089
1012,7.44428419541667
1013,7.44297818484073
1014,7.44207326996557
1015,7.44144531919371
1016,7.44100891868884
1017,7.44070520099252
1018,7.44049352955119
1019,7.44034580838442
1020,7.44024258181041
1021,7.44017035675332
1022,7.44011976140734
1023,7.44008427697619
1024,7.4400593627271
1025,7.44004185142507
1026,7.44002953093933
1027,7.44002085424592
1028,7.18893171170485
1029,7.18620003365997
1030,7.18431014297702
1031,7.1830006180232
1032,7.18209186186761
1033,7.18146029063055
1034,7.1810207266377
1035,7.18071436897633
1036,7.18050056134564
1037,7.18035114934363
1038,7.1802466063685
1039,7.18017336946046
1040,7.18012200423263
1041,7.18008593884684
